layers,branching factor,average error,average error %,max error,max error %,size binary search,size linear search,namespace,binary,inference,pred_time_lin,pred_time_bin,pred_time,star,front
"histogram,linear",64,601153.0,1.308429,2616858,1.308429,67121792,67121280,nmb82848701170bd779ae4,True,35.58137,3012.0882869999996,366.79361800000004,366.79361800000004,False,False
"lognormal,cubic",32768,51348.7109375,0.2972415,594483,0.2972415,8650944,8388800,nmb88bd44bb060ca6c6850,True,68.1805,3044.6874169999996,365.172149,365.172149,False,False
"bradix,linear",128,6668574.0,10.7197105,21439421,10.7197105,17600,16576,nmb963040fb420389a7050,True,22.94046,2999.4473769999995,397.41712299999995,397.41712299999995,True,True
"radix,cubic",524288,17371.421875,0.12146699999999999,242934,0.12146699999999999,138412160,134217856,nmc6803cbde4f6b36ecb97,True,32.89848,3009.4053969999995,309.47693999999996,309.47693999999996,False,False
"bradix,cubic",8192,207014.328125,1.1495825,2299165,1.1495825,2162880,2097344,nmc6ccd28cc2bc352046a2,True,25.77772,3002.2846369999997,354.79212,354.79212,False,False
"radix,cubic",128,8388608.0,14.061114,28122228,14.061114,33920,32896,nmcb07f98b5649e22cb788,True,21.6011,2998.1080169999996,399.07074,399.07074,False,False
"loglinear,linear",32768,92358.2578125,0.886314,1772628,0.886314,4456576,4194432,nmd3ea9e3218e99e46cf01,True,32.50813,3009.015047,350.48909499999996,350.48909499999996,False,False
"radix,linear",128,16777216.0,24.1812795,48362559,24.1812795,17536,16512,nmd588b1b0c08d9bced908,True,20.23091,2996.737827,410.09740999999997,410.09740999999997,True,True
"loglinear,cubic",128,3190927.0,11.2059885,22411977,11.2059885,33920,32896,nmd82288547d42fd684319,True,31.71982,3008.2267369999995,408.13191500000005,408.13191500000005,False,False
"cubic,linear",1024,1048576.0,1.680674,3361348,1.680674,139520,131328,nmdcd20e2971166bf6d08e,True,24.01075,3000.5176669999996,359.14856700000007,359.14856700000007,False,True
"linear,cubic",524288,40318.1328125,1.2376245,2475249,1.2376245,138412160,134217856,nmde0390a17f5502eab270,True,61.08965,3037.5965669999996,392.30189800000005,392.30189800000005,False,False
"radix,linear",524288,17674.291015625,0.371465,742930,0.371465,71303296,67108992,nme1f8408423add6b16741,True,27.84745,3004.354367,327.90538,327.90538,True,True
"loglinear,cubic",524288,19760.5546875,0.098766,197532,0.098766,138412160,134217856,nme391deb527de3dd36de2,True,54.92115,3031.428067,326.48462900000004,326.48462900000004,False,False
"lognormal,linear",128,2097152.0,6.347064,12694128,6.347064,17600,16576,nme63caa3ed7886884e231,True,60.19219,3036.699107,424.269394,424.269394,False,False
"cubic,cubic",1024,700951.0625,1.5769354999999998,3153871,1.5769354999999998,270592,262400,nme8f4246f1c490abe1a52,True,26.78259,3003.2895069999995,361.801502,361.801502,False,True
"radix,linear",65536,55305.2109375,0.4935005,987001,0.4935005,8913024,8388736,nmea9ba934de324339f937,True,23.23887,2999.745787,328.762378,328.762378,True,True
"cubic,cubic",65536,38871.64453125,0.2120735,424147,0.2120735,17301760,16777472,nmedae55b59cf40eea5366,True,36.16681,3012.673727,327.342069,327.342069,False,True
"lognormal,linear",524288,10310.78515625,0.11324499999999998,226490,0.11324499999999998,71303360,67109056,nmef2eb6d8f3b3ee85aae4,True,81.76871,3058.2756269999995,358.34716999999995,358.34716999999995,False,False
"linear,linear",524288,34253.12109375,0.6557295000000001,1311459,0.6557295000000001,71303296,67108992,nmf1c3a8533d05302435de,True,48.08117,3024.5880869999996,362.16250099999996,362.16250099999996,False,False
"linear,cubic",65536,46320.59375,0.9803655,1960731,0.9803655,17301632,16777344,nmf387c90e910429466e77,True,39.45166,3015.958577,359.069038,359.069038,False,False
"loglinear,cubic",2048,747896.625,1.5079835,3015967,1.5079835,540800,524416,nmfa3761b0b6344ed182eb,True,33.62926,3010.136177,368.648172,368.648172,False,True
"cubic,cubic",2048,569695.625,1.6769855,3353971,1.6769855,540928,524544,nm000304712a71a0b15a82,True,31.70676,3008.2136769999997,366.844577,366.844577,False,False
"cubic,linear",2048,707154.4375,1.9083155,3816631,1.9083155,278784,262400,nm05ceaf4e0d0f042ea1c6,True,28.12721,3004.634127,364.415803,364.415803,False,False
"bradix,linear",131072,27853.1953125,0.235951,471902,0.235951,17825984,16777408,nm088bc8340b26dcdd74ba,True,30.1475,3006.6544169999997,321.494495,321.494495,True,True
"cubic,linear",262144,21531.36328125,0.3111825,622365,0.3111825,35651840,33554688,nm09179faa51abc737f7e4,True,41.13475,3017.641667,338.126399,338.126399,False,False
"loglinear,cubic",262144,25930.861328125,0.151096,302192,0.151096,69206144,67108992,nm0aa94b18a48134557085,True,49.90392,3026.410837,334.02491999999995,334.02491999999995,False,False
"radix,linear",2048,1248768.75,5.2118554999999995,10423711,5.2118554999999995,278656,262272,nm0c59c585281c9af9bce7,True,22.45204,2998.958957,386.854875,386.854875,True,True
"bradix,cubic",262144,17371.421875,0.12146699999999999,242934,0.12146699999999999,69206208,67109056,nm0e835a7e01d5d71e714c,True,34.87449,3011.381407,311.45294999999993,311.45294999999993,False,False
"normal,linear",65536,41358.16015625,0.308672,617344,0.308672,8913088,8388800,nm0f8dd4229bda839851a3,True,42.42197,3018.9288869999996,339.413619,339.413619,False,False
"normal,cubic",2097152,4321.04150390625,0.034873,69746,0.034873,553648320,536871104,nm17995f8448edad6ef285,True,102.97725,3079.4841669999996,353.287242,353.287242,False,False
"normal,cubic",512,2276699.0,2.2511055,4502211,2.2511055,135360,131264,nm19fa90eb834a1c9de60c,True,36.03846,3012.545377,384.191473,384.191473,False,False
"bradix,cubic",512,1048576.0,3.6432675,7286535,3.6432675,135360,131264,nm1a5d155e5b4594460536,True,24.99334,3001.5002569999997,378.57565,378.57565,False,False
"radix,cubic",16384,207014.328125,1.1495825,2299165,1.1495825,4325504,4194432,nm1c5c75192f7a94c32a47,True,24.92938,3001.4362969999997,353.94378,353.94378,False,False
"linear,cubic",1048576,39711.79296875,1.2376245,2475249,1.2376245,276824192,268435584,nm23badbacaf339dcc8a58,True,74.55101,3051.057927,405.76325800000006,405.76325800000006,False,False
